Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
322,CUSTER,25,29,54,Custer,21,Custer,21,41
323,EAST CUSTER,12,14,26,Custer,21,Custer,21,41
324,MERNA COMMUNITY BLDG,173,195,368,Custer,21,Custer,21,41
325,COMSTOCK/DG/SC,70,62,132,Custer,21,Custer,21,41
326,DELIGHT,178,171,349,Custer,21,Custer,21,41
327,ELIM,28,41,69,Custer,21,Custer,21,41
328,TRIUMPH,32,33,65,Custer,21,Custer,21,41
329,GAR/LIL/MIL,60,77,137,Custer,21,Custer,21,41
330,GRANT,10,11,21,Custer,21,Custer,21,41
331,LOUP,31,44,75,Custer,21,Custer,21,41
332,SARGENT RUR/C/WU,66,64,130,Custer,21,Custer,21,41
333,SARGENT VILLAGE,134,120,254,Custer,21,Custer,21,41
334,RYNO,21,33,54,Custer,21,Custer,21,41
335,ANSELMO,98,114,212,Custer,21,Custer,21,41
336,WOODRIVER,78,76,154,Custer,21,Custer,21,41
337,WAYNE,29,40,69,Custer,21,Custer,21,41
338,BROKEN BOW NORTHWEST,263,217,480,Custer,21,Custer,21,41
339,BROKEN BOW SOUTH RURAL,85,105,190,Custer,21,Custer,21,41
340,SARGENT VILLAGE,0,0,0,Custer,21,Custer,21,41
341,RYNO,0,0,0,Custer,21,Custer,21,41
342,ANSELMO,0,0,0,Custer,21,Custer,21,41
343,WOODRIVER,0,0,0,Custer,21,Custer,21,41
344,WAYNE,0,0,0,Custer,21,Custer,21,41
345,BB NORTHWEST,0,0,0,Custer,21,Custer,21,41
346,BB SOUTH RURAL,0,0,0,Custer,21,Custer,21,41
347,01 - SSC Ward 1,243,168,411,Dakota,22,Dakota,22,43
348,02 - SSC Ward 2,455,260,715,Dakota,22,Dakota,22,43
349,03 - SSC Ward 3,398,273,671,Dakota,22,Dakota,22,43
350,04 - SSC Ward 4A,255,154,409,Dakota,22,Dakota,22,43
351,05 - SSC Ward 4AA,218,124,342,Dakota,22,Dakota,22,43
352,06 - SSC Ward 4B,385,242,627,Dakota,22,Dakota,22,43
353,07 - Covington Island,396,340,736,Dakota,22,Dakota,22,43
354,08 - Dakota City,355,235,590,Dakota,22,Dakota,22,43
355,09 - Dakota Rural,130,99,229,Dakota,22,Dakota,22,43
356,10 - Emerson,100,83,183,Dakota,22,Dakota,22,43
357,11 - Hubbard,116,110,226,Dakota,22,Dakota,22,43
358,12 - Omadi,237,200,437,Dakota,22,Dakota,22,43
359,13 - St. Johns,214,176,390,Dakota,22,Dakota,22,43
360,Precinct 1,134,78,212,Dawes,23,Dawes,23,45
361,Precinct 2,347,237,584,Dawes,23,Dawes,23,45
362,Precinct 3,306,177,483,Dawes,23,Dawes,23,45
363,Precinct 4,259,144,403,Dawes,23,Dawes,23,45
364,Precinct 5,210,127,337,Dawes,23,Dawes,23,45
365,Precinct 6,188,213,401,Dawes,23,Dawes,23,45
366,Precinct 7,94,124,218,Dawes,23,Dawes,23,45
367,Precinct 8,204,174,378,Dawes,23,Dawes,23,45
368,Precinct 9,62,74,136,Dawes,23,Dawes,23,45
369,Precinct 10,202,216,418,Dawes,23,Dawes,23,45
370,Precinct 11,127,139,266,Dawes,23,Dawes,23,45
371,Coyote,101,105,206,Dawson,24,Dawson,24,47
372,Cozad East,392,348,740,Dawson,24,Dawson,24,47
373,Cozad West,414,295,709,Dawson,24,Dawson,24,47
374,Fairview,60,61,121,Dawson,24,Dawson,24,47
375,Farnam,65,57,122,Dawson,24,Dawson,24,47
376,German,68,80,148,Dawson,24,Dawson,24,47
377,Gillan,110,134,244,Dawson,24,Dawson,24,47
378,Gothenburg East,497,335,832,Dawson,24,Dawson,24,47
379,Gothenburg West,436,364,800,Dawson,24,Dawson,24,47
380,Grant,134,104,238,Dawson,24,Dawson,24,47
381,Kennebec,35,40,75,Dawson,24,Dawson,24,47
382,Lexington 1st,226,165,391,Dawson,24,Dawson,24,47
383,Lexington 2nd,424,237,661,Dawson,24,Dawson,24,47
384,Lexington 3rd,451,309,760,Dawson,24,Dawson,24,47
385,Lexington 4th,147,86,233,Dawson,24,Dawson,24,47
386,Lexington 5th,318,197,515,Dawson,24,Dawson,24,47
387,Overton,257,244,501,Dawson,24,Dawson,24,47
388,Platte,194,149,343,Dawson,24,Dawson,24,47
389,Ringgold,103,90,193,Dawson,24,Dawson,24,47
390,Woodriver,112,108,220,Dawson,24,Dawson,24,47
391,Chappell,156,146,302,Deuel,25,Deuel,25,49
392,Swan,157,129,286,Deuel,25,Deuel,25,49
393,Big Springs,174,162,336,Deuel,25,Deuel,25,49
394,Logan-Wakefield 3,93,125,218,Dixon,26,Dixon,26,51
395,Concord-Dixon-Clark,148,149,297,Dixon,26,Dixon,26,51
396,Daily-Hooker-Newcastle,182,223,405,Dixon,26,Dixon,26,51
397,Wakefield 1,141,75,216,Dixon,26,Dixon,26,51
398,Wakefield 2,87,52,139,Dixon,26,Dixon,26,51
399,Springbank,152,155,307,Dixon,26,Dixon,26,51
400,Galena-Silvercreek,100,122,222,Dixon,26,Dixon,26,51
401,Emerson,112,90,202,Dixon,26,Dixon,26,51
402,Ottercreek,58,59,117,Dixon,26,Dixon,26,51
403,Ponca Township,122,129,251,Dixon,26,Dixon,26,51
404,Ponca 1,124,95,219,Dixon,26,Dixon,26,51
405,Ponca 2,133,103,236,Dixon,26,Dixon,26,51
406,Fremont 1A,452,250,702,Dodge,27,Dodge,27,53
407,Fremont 1B,404,193,597,Dodge,27,Dodge,27,53
408,Fremont 1C,553,260,813,Dodge,27,Dodge,27,53
409,Fremont 1D,285,166,451,Dodge,27,Dodge,27,53
410,Fremont 1E,502,200,702,Dodge,27,Dodge,27,53
411,Fremont 2A,307,127,434,Dodge,27,Dodge,27,53
412,Fremont 2B,300,130,430,Dodge,27,Dodge,27,53
413,Fremont 2C,546,280,826,Dodge,27,Dodge,27,53
414,Fremont 2D,208,93,301,Dodge,27,Dodge,27,53
